signal_id,signal,position,lens_status,rationale,clears_naive_baseline
FORM-001,xgi_roll3,DEF,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks",True
FORM-001,xgi_roll3,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks",False
FORM-001,xgi_roll3,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=1.08, monotonic=False)",False
FORM-002,xgi_roll5,DEF,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks",True
FORM-002,xgi_roll5,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks",True
FORM-002,xgi_roll5,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=1.11, monotonic=False)",False
FORM-003,goals_scored_roll3,DEF,uninformative,"CI crosses zero [-0.023, 0.061]",False
FORM-003,goals_scored_roll3,MID,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.38, monotonic=False)",False
FORM-003,goals_scored_roll3,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.79, monotonic=False)",False
FORM-004,points_roll3,GKP,uninformative,"CI crosses zero [-0.010, 0.150]",
FORM-004,points_roll3,DEF,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=1.22, monotonic=False)",
FORM-004,points_roll3,MID,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.99, monotonic=True)",
FORM-004,points_roll3,FWD,unstable,CI excludes zero in aggregate but passes only 1/3 GW blocks,
FORM-005,points_roll5,GKP,uninformative,"CI crosses zero [-0.003, 0.168]",
FORM-005,points_roll5,DEF,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.96, monotonic=False)",
FORM-005,points_roll5,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks",
FORM-005,points_roll5,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.81, monotonic=False)",
FORM-006,minutes_roll3,DEF,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.94, monotonic=False)",True
FORM-006,minutes_roll3,MID,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=1.09, monotonic=False)",True
FORM-006,minutes_roll3,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.48, monotonic=False)",False
