signal_id,signal,position,block,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_q1_gap,is_monotonic,decision_relevant
FORM-001,xgi_roll3,DEF,full,2.382,2.95,3.096,3.502,3.502,1.12,True,True
FORM-001,xgi_roll3,DEF,early,2.484,2.846,3.237,3.314,3.65,1.166,True,True
FORM-001,xgi_roll3,DEF,mid,2.467,3.013,2.947,3.344,3.211,0.744,False,False
FORM-001,xgi_roll3,DEF,late,2.424,2.816,3.173,3.806,4.091,1.667,True,True
FORM-001,xgi_roll3,MID,full,2.704,2.994,3.285,3.471,4.002,1.298,True,True
FORM-001,xgi_roll3,MID,early,2.548,3.08,3.25,3.472,3.876,1.328,True,True
FORM-001,xgi_roll3,MID,mid,2.773,2.992,3.325,3.414,3.832,1.059,True,True
FORM-001,xgi_roll3,MID,late,2.855,3.0,3.255,3.436,4.545,1.691,True,True
FORM-001,xgi_roll3,FWD,full,3.42,3.403,3.235,3.37,4.504,1.084,False,False
FORM-001,xgi_roll3,FWD,early,4.167,3.0,2.889,3.083,5.167,1.0,False,False
FORM-001,xgi_roll3,FWD,mid,2.93,3.482,3.123,3.482,4.14,1.211,False,False
FORM-001,xgi_roll3,FWD,late,3.111,4.308,3.346,4.077,4.259,1.148,False,False
FORM-002,xgi_roll5,DEF,full,2.484,2.942,3.212,3.286,3.528,1.044,True,True
FORM-002,xgi_roll5,DEF,early,2.853,2.88,3.009,3.37,3.541,0.688,True,False
FORM-002,xgi_roll5,DEF,mid,2.573,3.084,2.982,3.216,3.128,0.555,False,False
FORM-002,xgi_roll5,DEF,late,2.212,2.704,3.582,3.704,4.111,1.899,True,True
FORM-002,xgi_roll5,MID,full,2.525,3.197,3.273,3.451,4.169,1.644,True,True
FORM-002,xgi_roll5,MID,early,2.224,3.234,3.384,3.573,4.32,2.096,True,True
FORM-002,xgi_roll5,MID,mid,2.634,3.114,3.384,3.274,3.929,1.294,False,False
FORM-002,xgi_roll5,MID,late,2.664,3.136,2.955,3.773,4.564,1.9,False,False
FORM-002,xgi_roll5,FWD,full,3.248,3.22,3.593,3.376,4.358,1.11,False,False
FORM-002,xgi_roll5,FWD,early,4.462,2.885,2.76,2.077,5.654,1.192,False,False
FORM-002,xgi_roll5,FWD,mid,2.684,3.482,3.596,3.714,3.684,1.0,False,False
