signal,position,homogeneity,pooling_decision
minutes,GK,stable,pool_confirmed
minutes,DEF,stable,pool_confirmed
minutes,MID,stable,pool_confirmed
minutes,FWD,stable,pool_confirmed
goals_scored,GK,stable,pool_confirmed
goals_scored,DEF,stable,pool_confirmed
goals_scored,MID,stable,pool_confirmed
goals_scored,FWD,stable,pool_confirmed
assists,GK,stable,pool_confirmed
assists,DEF,stable,pool_confirmed
assists,MID,stable,pool_confirmed
assists,FWD,stable,pool_confirmed
clean_sheets,GK,stable,pool_confirmed
clean_sheets,DEF,stable,pool_confirmed
clean_sheets,MID,stable,pool_confirmed
clean_sheets,FWD,stable,pool_confirmed
yellow_cards,GK,stable,pool_confirmed
yellow_cards,DEF,stable,pool_confirmed
yellow_cards,MID,stable,pool_confirmed
yellow_cards,FWD,stable,pool_confirmed
red_cards,GK,stable,pool_confirmed
red_cards,DEF,stable,pool_confirmed
red_cards,MID,stable,pool_confirmed
red_cards,FWD,stable,pool_confirmed
saves,GK,stable,pool_confirmed
saves,DEF,stable,pool_confirmed
saves,MID,stable,pool_confirmed
saves,FWD,stable,pool_confirmed
bonus,GK,stable,pool_confirmed
bonus,DEF,stable,pool_confirmed
bonus,MID,stable,pool_confirmed
bonus,FWD,stable,pool_confirmed
bps,GK,stable,pool_confirmed
bps,DEF,stable,pool_confirmed
bps,MID,stable,pool_confirmed
bps,FWD,stable,pool_confirmed
goals_conceded,GK,stable,pool_confirmed
goals_conceded,DEF,stable,pool_confirmed
goals_conceded,MID,stable,pool_confirmed
goals_conceded,FWD,stable,pool_confirmed
xg,GK,stable,pool_confirmed
xg,DEF,stable,pool_confirmed
xg,MID,stable,pool_confirmed
xg,FWD,stable,pool_confirmed
xa,GK,stable,pool_confirmed
xa,DEF,stable,pool_confirmed
xa,MID,stable,pool_confirmed
xa,FWD,stable,pool_confirmed
xgi,GK,stable,pool_confirmed
xgi,DEF,stable,pool_confirmed
xgi,MID,stable,pool_confirmed
xgi,FWD,stable,pool_confirmed
xgc,GK,stable,pool_confirmed
xgc,DEF,stable,pool_confirmed
xgc,MID,stable,pool_confirmed
xgc,FWD,stable,pool_confirmed
fdr_avg,GK,stable,pool_confirmed
fdr_avg,DEF,stable,pool_confirmed
fdr_avg,MID,stable,pool_confirmed
fdr_avg,FWD,stable,pool_confirmed
fdr_min,GK,stable,pool_confirmed
fdr_min,DEF,stable,pool_confirmed
fdr_min,MID,stable,pool_confirmed
fdr_min,FWD,stable,pool_confirmed
fdr_max,GK,stable,pool_confirmed
fdr_max,DEF,stable,pool_confirmed
fdr_max,MID,stable,pool_confirmed
fdr_max,FWD,stable,pool_confirmed
transfers_balance,GK,stable,pool_confirmed
transfers_balance,DEF,stable,pool_confirmed
transfers_balance,MID,stable,pool_confirmed
transfers_balance,FWD,stable,pool_confirmed
fixture_count,GK,stable,pool_confirmed
fixture_count,DEF,stable,pool_confirmed
fixture_count,MID,stable,pool_confirmed
fixture_count,FWD,stable,pool_confirmed
was_home,GK,stable,pool_confirmed
was_home,DEF,moderate_shift,pool_with_caveat
was_home,MID,stable,pool_confirmed
was_home,FWD,stable,pool_confirmed
starts,GK,stable,pool_confirmed
starts,DEF,stable,pool_confirmed
starts,MID,stable,pool_confirmed
starts,FWD,stable,pool_confirmed
influence,GK,stable,pool_confirmed
influence,DEF,stable,pool_confirmed
influence,MID,stable,pool_confirmed
influence,FWD,stable,pool_confirmed
creativity,GK,stable,pool_confirmed
creativity,DEF,stable,pool_confirmed
creativity,MID,stable,pool_confirmed
creativity,FWD,stable,pool_confirmed
threat,GK,stable,pool_confirmed
threat,DEF,stable,pool_confirmed
threat,MID,stable,pool_confirmed
threat,FWD,stable,pool_confirmed
ict_index,GK,stable,pool_confirmed
ict_index,DEF,stable,pool_confirmed
ict_index,MID,stable,pool_confirmed
ict_index,FWD,stable,pool_confirmed
ownership_count,GK,stable,pool_confirmed
ownership_count,DEF,stable,pool_confirmed
ownership_count,MID,stable,pool_confirmed
ownership_count,FWD,stable,pool_confirmed
purchase_price,GK,stable,pool_confirmed
purchase_price,DEF,stable,pool_confirmed
purchase_price,MID,stable,pool_confirmed
purchase_price,FWD,stable,pool_confirmed
transfers_in,GK,stable,pool_confirmed
transfers_in,DEF,stable,pool_confirmed
transfers_in,MID,stable,pool_confirmed
transfers_in,FWD,stable,pool_confirmed
transfers_out,GK,stable,pool_confirmed
transfers_out,DEF,stable,pool_confirmed
transfers_out,MID,stable,pool_confirmed
transfers_out,FWD,stable,pool_confirmed
