signal_id,signal,position,lens_status,rationale
AVAIL-001,minutes_roll3,GKP,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.058, monotonic=False)"
AVAIL-001,minutes_roll3,DEF,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.214, monotonic=False)"
AVAIL-001,minutes_roll3,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks"
AVAIL-001,minutes_roll3,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.202, monotonic=False)"
AVAIL-002,minutes_roll5,GKP,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.083, monotonic=False)"
AVAIL-002,minutes_roll5,DEF,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.226, monotonic=False)"
AVAIL-002,minutes_roll5,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks"
AVAIL-002,minutes_roll5,FWD,unstable,CI excludes zero in aggregate but passes only 1/3 GW blocks
AVAIL-003,minutes_roll8,GKP,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.103, monotonic=False)"
AVAIL-003,minutes_roll8,DEF,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks"
AVAIL-003,minutes_roll8,MID,informative,"CI excludes zero, decision relevant, passes 3/3 GW blocks"
AVAIL-003,minutes_roll8,FWD,uninformative,"CI excludes zero but fails decision relevance (Q5-Q1=0.263, monotonic=False)"
