signal_id,signal,position,block,target,rho,ci_lower,ci_upper,n,ci_excludes_zero
AVAIL-001,minutes_roll3,GKP,full,played_next_gw,0.1735,0.0748,0.2758,602,True
AVAIL-001,minutes_roll3,GKP,full_no_dgw,played_next_gw,0.1732,0.0808,0.2789,600,True
AVAIL-001,minutes_roll3,GKP,full,total_points_next_gw,0.1047,0.0177,0.185,602,True
AVAIL-001,minutes_roll3,GKP,full_no_dgw,total_points_next_gw,0.1047,0.0206,0.1884,600,True
AVAIL-001,minutes_roll3,DEF,full,played_next_gw,0.2234,0.1841,0.2646,2409,True
AVAIL-001,minutes_roll3,DEF,full_no_dgw,played_next_gw,0.2232,0.182,0.2653,2398,True
AVAIL-001,minutes_roll3,DEF,full,total_points_next_gw,0.1383,0.0976,0.1783,2409,True
AVAIL-001,minutes_roll3,DEF,full_no_dgw,total_points_next_gw,0.1368,0.0983,0.1781,2398,True
AVAIL-001,minutes_roll3,MID,full,played_next_gw,0.2321,0.1979,0.2693,2619,True
AVAIL-001,minutes_roll3,MID,full_no_dgw,played_next_gw,0.2334,0.1978,0.2683,2608,True
AVAIL-001,minutes_roll3,MID,full,total_points_next_gw,0.1786,0.1395,0.217,2619,True
AVAIL-001,minutes_roll3,MID,full_no_dgw,total_points_next_gw,0.1804,0.1442,0.2168,2608,True
AVAIL-001,minutes_roll3,FWD,full,played_next_gw,0.1864,0.1069,0.2625,595,True
AVAIL-001,minutes_roll3,FWD,full_no_dgw,played_next_gw,0.1858,0.1063,0.2628,591,True
AVAIL-001,minutes_roll3,FWD,full,total_points_next_gw,0.0845,0.0054,0.165,595,True
AVAIL-001,minutes_roll3,FWD,full_no_dgw,total_points_next_gw,0.0878,0.0043,0.1685,591,True
AVAIL-002,minutes_roll5,GKP,full,played_next_gw,0.1718,0.0679,0.2744,543,True
AVAIL-002,minutes_roll5,GKP,full_no_dgw,played_next_gw,0.1714,0.0712,0.2714,541,True
AVAIL-002,minutes_roll5,GKP,full,total_points_next_gw,0.1075,0.0096,0.1959,543,True
AVAIL-002,minutes_roll5,GKP,full_no_dgw,total_points_next_gw,0.1074,0.0136,0.1948,541,True
AVAIL-002,minutes_roll5,DEF,full,played_next_gw,0.2126,0.1732,0.2546,2169,True
AVAIL-002,minutes_roll5,DEF,full_no_dgw,played_next_gw,0.2118,0.1707,0.2539,2158,True
AVAIL-002,minutes_roll5,DEF,full,total_points_next_gw,0.1235,0.0802,0.1658,2169,True
AVAIL-002,minutes_roll5,DEF,full_no_dgw,total_points_next_gw,0.1217,0.0805,0.1672,2158,True
AVAIL-002,minutes_roll5,MID,full,played_next_gw,0.227,0.1895,0.2647,2360,True
AVAIL-002,minutes_roll5,MID,full_no_dgw,played_next_gw,0.2281,0.1882,0.267,2349,True
AVAIL-002,minutes_roll5,MID,full,total_points_next_gw,0.1676,0.1285,0.205,2360,True
AVAIL-002,minutes_roll5,MID,full_no_dgw,total_points_next_gw,0.1694,0.1297,0.2081,2349,True
AVAIL-002,minutes_roll5,FWD,full,played_next_gw,0.1807,0.1058,0.2586,544,True
AVAIL-002,minutes_roll5,FWD,full_no_dgw,played_next_gw,0.1789,0.0984,0.2581,540,True
AVAIL-002,minutes_roll5,FWD,full,total_points_next_gw,0.085,0.0018,0.1693,544,True
AVAIL-002,minutes_roll5,FWD,full_no_dgw,total_points_next_gw,0.0887,0.0048,0.1698,540,True
AVAIL-003,minutes_roll8,GKP,full,played_next_gw,0.1705,0.0627,0.2729,483,True
AVAIL-003,minutes_roll8,GKP,full_no_dgw,played_next_gw,0.1701,0.0593,0.2772,481,True
AVAIL-003,minutes_roll8,GKP,full,total_points_next_gw,0.0995,0.0058,0.192,483,True
AVAIL-003,minutes_roll8,GKP,full_no_dgw,total_points_next_gw,0.0993,0.0022,0.1956,481,True
AVAIL-003,minutes_roll8,DEF,full,played_next_gw,0.2188,0.174,0.2614,1936,True
AVAIL-003,minutes_roll8,DEF,full_no_dgw,played_next_gw,0.2165,0.1693,0.2621,1925,True
AVAIL-003,minutes_roll8,DEF,full,total_points_next_gw,0.1298,0.0853,0.1717,1936,True
AVAIL-003,minutes_roll8,DEF,full_no_dgw,total_points_next_gw,0.1282,0.0823,0.1733,1925,True
AVAIL-003,minutes_roll8,MID,full,played_next_gw,0.2215,0.1799,0.261,2095,True
AVAIL-003,minutes_roll8,MID,full_no_dgw,played_next_gw,0.2228,0.182,0.2627,2084,True
AVAIL-003,minutes_roll8,MID,full,total_points_next_gw,0.1693,0.1254,0.2117,2095,True
AVAIL-003,minutes_roll8,MID,full_no_dgw,total_points_next_gw,0.1716,0.1271,0.2138,2084,True
AVAIL-003,minutes_roll8,FWD,full,played_next_gw,0.2059,0.1205,0.2816,492,True
AVAIL-003,minutes_roll8,FWD,full_no_dgw,played_next_gw,0.2032,0.118,0.2846,488,True
AVAIL-003,minutes_roll8,FWD,full,total_points_next_gw,0.1388,0.0557,0.2278,492,True
AVAIL-003,minutes_roll8,FWD,full_no_dgw,total_points_next_gw,0.1437,0.0559,0.2279,488,True
